Date EST,Latitude,Longitude,,,,
Sun 06:29:41 PM,33.9474,-118.4279,,,,
Sun 06:29:57 PM,33.9459,-118.4436,,,,
Sun 06:30:13 PM,33.9445,-118.4579,,,,
Sun 06:30:29 PM,33.9433,-118.475,,,,
Sun 06:30:45 PM,33.943,-118.4941,,,,
Sun 06:31:02 PM,33.942,-118.516,,,,
Sun 06:31:21 PM,33.9395,-118.543,,,,
Sun 06:31:51 PM,33.936,-118.5902,,,,
Sun 06:32:21 PM,33.9329,-118.6337,,,,
Sun 06:32:42 PM,33.9306,-118.6646,,,,
Sun 06:33:12 PM,33.927,-118.7098,,,,
Sun 06:33:42 PM,33.9232,-118.7574,,,,
Sun 06:34:12 PM,33.9198,-118.802,,,,
Sun 06:34:34 PM,33.9173,-118.8389,,,,
Sun 06:35:19 PM,33.9199,-118.9107,,,,
Sun 06:35:38 PM,33.9209,-118.9459,,,,
Sun 06:36:07 PM,33.9227,-119.0007,,,,
Sun 06:36:26 PM,33.9324,-119.0367,,,,
Sun 06:36:55 PM,33.9578,-119.0821,,,,
Sun 06:37:25 PM,33.9857,-119.1372,,,,
Sun 06:37:47 PM,34.0052,-119.1752,,,,
Sun 06:38:03 PM,34.0238,-119.1986,,,,
Sun 06:38:24 PM,34.053,-119.2224,,,,
Sun 06:39:04 PM,34.1112,-119.2723,,,,
Sun 06:39:34 PM,34.1529,-119.3088,,,,
Sun 06:40:04 PM,34.1961,-119.346,,,,
Sun 06:40:34 PM,34.2401,-119.3839,,,,
Sun 06:41:04 PM,34.2847,-119.4225,,,,
Sun 06:41:34 PM,34.3283,-119.4602,,,,
Sun 06:42:04 PM,34.3739,-119.4998,,,,
Sun 06:42:34 PM,34.419,-119.5389,,,,
Sun 06:42:56 PM,34.4536,-119.5703,,,,
Sun 06:43:26 PM,34.496,-119.6112,,,,
Sun 06:43:56 PM,34.5404,-119.6537,,,,
Sun 06:44:26 PM,34.5861,-119.6969,,,,
Sun 06:44:56 PM,34.632,-119.7403,,,,
Sun 06:45:26 PM,34.6778,-119.7836,,,,
Sun 06:45:56 PM,34.7241,-119.8275,,,,
Sun 06:46:22 PM,34.7618,-119.8633,,,,
Sun 06:47:00 PM,34.8205,-119.9192,,,,
Sun 06:47:30 PM,34.8677,-119.9641,,,,
Sun 06:48:00 PM,34.9137,-120.0081,,,,
Sun 06:48:39 PM,34.975,-120.0667,,,,
Sun 06:49:09 PM,35.0214,-120.1111,,,,
Sun 06:49:39 PM,35.0686,-120.1563,,,,
Sun 06:50:09 PM,35.1172,-120.203,,,,
Sun 06:50:38 PM,35.1612,-120.2454,,,,
Sun 06:51:08 PM,35.2124,-120.2939,,,,
Sun 06:51:41 PM,35.2668,-120.3429,,,,
Sun 06:52:11 PM,35.3149,-120.3865,,,,
Sun 06:52:41 PM,35.3657,-120.4331,,,,
Sun 06:53:11 PM,35.416,-120.4793,,,,
Sun 06:53:41 PM,35.4637,-120.5233,,,,
Sun 06:54:11 PM,35.5163,-120.5717,,,,
Sun 06:54:41 PM,35.5653,-120.6162,,,,
Sun 06:55:11 PM,35.6172,-120.6601,,,,
Sun 06:55:41 PM,35.6677,-120.7028,,,,
Sun 06:56:11 PM,35.7182,-120.7463,,,,
Sun 06:56:41 PM,35.7717,-120.7927,,,,
Sun 06:57:11 PM,35.8212,-120.8356,,,,
Sun 06:57:41 PM,35.8719,-120.8796,,,,
Sun 06:58:11 PM,35.9233,-120.9243,,,,
Sun 06:58:41 PM,35.9735,-120.968,,,,
Sun 06:59:14 PM,36.0304,-121.0176,,,,
Sun 06:59:44 PM,36.0822,-121.0628,,,,
Sun 07:00:15 PM,36.1315,-121.106,,,,
Sun 07:00:45 PM,36.1833,-121.1514,,,,
Sun 07:01:16 PM,36.2321,-121.1942,,,,
Sun 07:01:46 PM,36.2849,-121.2407,,,,
Sun 07:02:16 PM,36.3317,-121.2818,,,,
Sun 07:02:46 PM,36.3842,-121.3281,,,,
Sun 07:03:16 PM,36.4335,-121.3718,,,,
Sun 07:03:47 PM,36.4876,-121.4196,,,,
Sun 07:04:17 PM,36.536,-121.4625,,,,
Sun 07:04:47 PM,36.5863,-121.5071,,,,
Sun 07:05:17 PM,36.6364,-121.5516,,,,
Sun 07:05:47 PM,36.6844,-121.5945,,,,
Sun 07:06:17 PM,36.7356,-121.6402,,,,
Sun 07:06:47 PM,36.7842,-121.6836,,,,
Sun 07:07:17 PM,36.8329,-121.7272,,,,
Sun 07:07:47 PM,36.8828,-121.7719,,,,
Sun 07:08:17 PM,36.9336,-121.8175,,,,
Sun 07:08:47 PM,36.9838,-121.8627,,,,
Sun 07:09:17 PM,37.0321,-121.9062,,,,
Sun 07:09:47 PM,37.0823,-121.9515,,,,
Sun 07:10:17 PM,37.1319,-121.9963,,,,
Sun 07:10:47 PM,37.1818,-122.0415,,,,
Sun 07:11:17 PM,37.2321,-122.0871,,,,
Sun 07:11:47 PM,37.2806,-122.1312,,,,
Sun 07:12:17 PM,37.331,-122.1771,,,,
Sun 07:12:47 PM,37.3812,-122.2228,,,,
Sun 07:13:31 PM,37.455,-122.2903,,,,
Sun 07:14:01 PM,37.505,-122.3359,,,,
Sun 07:14:27 PM,37.5517,-122.3788,,,,
Sun 07:14:57 PM,37.5997,-122.4228,,,,
Sun 07:15:27 PM,37.6503,-122.4694,,,,
Sun 07:15:57 PM,37.7005,-122.5156,,,,
Sun 07:16:39 PM,37.7701,-122.5799,,,,
Sun 07:17:09 PM,37.8205,-122.6265,,,,
Sun 07:17:39 PM,37.8725,-122.6747,,,,
Sun 07:18:09 PM,37.9233,-122.7219,,,,
Sun 07:18:36 PM,37.9675,-122.7629,,,,
Sun 07:18:53 PM,37.9943,-122.7879,,,,
Sun 07:19:23 PM,38.046,-122.8353,,,,
Sun 07:19:53 PM,38.0973,-122.8845,,,,
Sun 07:20:23 PM,38.1461,-122.9315,,,,
Sun 07:20:53 PM,38.1959,-122.9791,,,,
Sun 07:21:23 PM,38.245,-123.0259,,,,
Sun 07:21:53 PM,38.2949,-123.0736,,,,
Sun 07:22:23 PM,38.347,-123.1235,,,,
Sun 07:22:53 PM,38.3974,-123.1718,,,,
Sun 07:23:23 PM,38.4463,-123.2188,,,,
Sun 07:23:53 PM,38.4962,-123.2668,,,,
Sun 07:24:23 PM,38.5474,-123.3162,,,,
Sun 07:24:53 PM,38.5983,-123.3653,,,,
Sun 07:25:23 PM,38.6478,-123.4133,,,,
Sun 07:25:53 PM,38.6985,-123.4624,,,,
Sun 07:26:23 PM,38.7492,-123.5117,,,,
Sun 07:26:53 PM,38.7997,-123.5608,,,,
Sun 07:27:23 PM,38.849,-123.6088,,,,
Sun 07:27:53 PM,38.8997,-123.6583,,,,
Sun 07:28:24 PM,38.9513,-123.7088,,,,
Sun 07:28:54 PM,39.0016,-123.7581,,,,
Sun 07:29:24 PM,39.051,-123.8066,,,,
Sun 07:29:54 PM,39.1028,-123.8576,,,,
Sun 07:30:24 PM,39.152,-123.9061,,,,
Sun 07:30:54 PM,39.2024,-123.9558,,,,
Sun 07:31:24 PM,39.2508,-124.0037,,,,
Sun 07:31:54 PM,39.3026,-124.055,,,,
Sun 07:32:25 PM,39.3536,-124.1058,,,,
Sun 07:32:55 PM,39.4028,-124.1547,,,,
Sun 07:33:25 PM,39.4546,-124.2063,,,,
Sun 07:33:55 PM,39.5042,-124.2559,,,,
Sun 07:34:25 PM,39.5537,-124.3054,,,,
Sun 07:34:55 PM,39.604,-124.3558,,,,
Sun 07:35:25 PM,39.6541,-124.4061,,,,
Sun 07:35:55 PM,39.706,-124.4584,,,,
Sun 07:36:25 PM,39.7548,-124.5075,,,,
Sun 07:36:55 PM,39.8055,-124.5587,,,,
Sun 07:37:25 PM,39.8558,-124.6096,,,,
Sun 07:38:02 PM,39.9185,-124.6733,,,,
Sun 07:38:34 PM,39.9731,-124.7288,,,,
Sun 07:39:04 PM,40.0232,-124.7798,,,,
Sun 07:39:35 PM,40.0725,-124.83,,,,
Sun 07:40:05 PM,40.1234,-124.8821,,,,
Sun 07:40:35 PM,40.174,-124.934,,,,
Sun 07:41:05 PM,40.2256,-124.9871,,,,
Sun 07:41:35 PM,40.2768,-125.0397,,,,
Sun 07:42:05 PM,40.3263,-125.0906,,,,
Sun 07:42:35 PM,40.3775,-125.1434,,,,
Sun 07:43:05 PM,40.4276,-125.1953,,,,
Sun 07:43:35 PM,40.4809,-125.2506,,,,
Sun 07:44:08 PM,40.5357,-125.3075,,,,
Sun 07:44:40 PM,40.5898,-125.364,,,,
Sun 07:45:14 PM,40.6496,-125.4263,,,,
Sun 07:45:44 PM,40.7001,-125.4791,,,,
Sun 07:46:14 PM,40.7514,-125.5328,,,,
Sun 07:46:44 PM,40.8019,-125.5858,,,,
Sun 07:47:14 PM,40.8533,-125.6398,,,,
Sun 07:47:44 PM,40.9042,-125.6935,,,,
Sun 07:48:14 PM,40.9555,-125.7477,,,,
Sun 07:48:44 PM,41.0068,-125.8021,,,,
Sun 07:49:17 PM,41.0605,-125.8589,,,,
Sun 07:49:47 PM,41.1115,-125.9132,,,,
Sun 07:50:18 PM,41.1638,-125.9688,,,,
Sun 07:50:51 PM,41.2186,-126.0273,,,,
Sun 07:51:23 PM,41.2731,-126.0858,,,,
Sun 07:51:53 PM,41.3245,-126.1408,,,,
Sun 07:52:49 PM,41.4208,-126.2444,,,,
Sun 07:53:45 PM,41.517,-126.3484,,,,
Sun 07:54:32 PM,41.5949,-126.4327,,,,
Sun 07:55:23 PM,41.6807,-126.53,,,,
Sun 07:56:12 PM,41.7562,-126.6292,,,,
Sun 07:58:07 PM,41.9403,-126.8698,,,,
Sun 07:58:38 PM,41.9868,-126.9341,,,,
Sun 07:59:08 PM,42.0343,-126.9995,,,,
Sun 08:00:08 PM,42.1276,-127.1279,,,,
Sun 08:01:07 PM,42.2186,-127.2536,,,,
Sun 08:01:52 PM,42.2833,-127.3432,,,,
Sun 08:02:22 PM,42.3362,-127.4168,,,,
Sun 08:02:53 PM,42.3843,-127.4836,,,,
Sun 08:03:25 PM,42.432,-127.5501,,,,
Sun 08:04:14 PM,42.5123,-127.6624,,,,
Sun 08:05:10 PM,42.5999,-127.7858,,,,
Sun 08:06:05 PM,42.6861,-127.9076,,,,
Sun 08:06:44 PM,42.7485,-127.9958,,,,
Sun 08:07:26 PM,42.8151,-128.0903,,,,
Sun 08:08:06 PM,42.8775,-128.1795,,,,
Sun 08:08:52 PM,42.9486,-128.2814,,,,
Sun 08:11:12 PM,43.16,-128.5857,,,,
Sun 08:11:18 PM,43.1757,-128.6089,,,,
Sun 08:12:18 PM,43.2716,-128.7484,,,,
Sun 08:12:48 PM,43.3168,-128.8143,,,,
Sun 08:13:36 PM,43.3954,-128.9297,,,,
Sun 08:16:09 PM,43.5724,-129.3321,,,,
Sun 08:17:12 PM,43.6449,-129.4985,,,,
Sun 08:19:12 PM,43.7822,-129.8166,,,,
Sun 08:21:03 PM,43.9085,-130.1121,,,,
Sun 08:21:15 PM,44.1,-129.9833,,,,
Sun 08:21:53 PM,44.15,-130.0833,,,,
Sun 08:24:05 PM,44.332,-130.3987,,,,
Sun 08:25:40 PM,44.4833,-130.6667,,,,
Sun 08:30:36 PM,44.9333,-131.45,,,,
Sun 08:33:11 PM,45.1998,-131.9368,,,,
Sun 08:35:13 PM,45.3689,-132.2501,,,,
Sun 08:35:32 PM,45.3833,-132.2667,,,,
Sun 08:37:54 PM,45.6315,-132.7338,,,,
Sun 08:39:12 PM,45.7421,-132.9445,,,,
Sun 08:40:13 PM,45.8284,-133.1099,,,,
Sun 08:40:28 PM,45.8333,-133.1333,,,,
Sun 08:42:08 PM,46.0122,-133.479,,,,
Sun 08:44:11 PM,46.1831,-133.8133,,,,
Sun 08:44:14 PM,46.1667,-133.7833,,,,
Sun 08:45:25 PM,46.2667,-133.9833,,,,
Sun 08:48:04 PM,46.5258,-134.5005,,,,
Sun 08:50:03 PM,46.6921,-134.8376,,,,
Sun 08:50:21 PM,46.6833,-134.8167,,,,
Sun 08:52:08 PM,46.8615,-135.1824,,,,
Sun 08:53:13 PM,46.9515,-135.369,,,,
Sun 08:55:11 PM,47.1142,-135.7094,,,,
Sun 08:55:17 PM,47.1,-135.6667,,,,
Sun 08:57:02 PM,47.2672,-136.0215,,,,
Sun 08:58:11 PM,47.3612,-136.2232,,,,
Sun 09:00:12 PM,47.5253,-136.5786,,,,
Sun 09:00:21 PM,47.5167,-136.5667,,,,
Sun 09:03:07 PM,47.75,-137.0833,,,,
Sun 09:05:10 PM,47.9235,-137.47,,,,
Sun 09:07:09 PM,48.0812,-137.8261,,,,
Sun 09:08:12 PM,48.1643,-138.0156,,,,
Sun 09:09:13 PM,48.2444,-138.1996,,,,
Sun 09:11:13 PM,48.4011,-138.5633,,,,
Sun 09:13:12 PM,48.5554,-138.9261,,,,
Sun 09:15:13 PM,48.7111,-139.2974,,,,
Sun 09:17:13 PM,48.8644,-139.6678,,,,
Sun 09:19:08 PM,49.0067,-140.0266,,,,
Sun 09:19:14 PM,49,-140,,,,
Sun 09:21:06 PM,49.1029,-140.4108,,,,
Sun 09:22:06 PM,49.1514,-140.607,,,,
Sun 09:22:19 PM,49.15,-140.6333,,,,
Sun 09:24:13 PM,49.2538,-141.0582,,,,
Sun 09:26:10 PM,49.3439,-141.4335,,,,
Sun 09:28:12 PM,49.4364,-141.8262,,,,
Sun 09:30:12 PM,49.5262,-142.2139,,,,
Sun 09:31:13 PM,49.5713,-142.4116,,,,
Sun 09:31:55 PM,49.6167,-142.55,,,,
Sun 09:32:13 PM,49.6154,-142.6063,,,,
Sun 09:33:56 PM,49.7005,-142.9282,,,,
Sun 09:35:07 PM,49.7513,-143.1603,,,,
Sun 09:36:12 PM,49.7973,-143.3732,,,,
Sun 09:38:13 PM,49.882,-143.7706,,,,
Sun 09:40:13 PM,49.9646,-144.1661,,,,
Sun 09:41:32 PM,50.0167,-144.4667,,,,
Sun 09:43:13 PM,50.0885,-144.7994,,,,
Sun 09:50:13 PM,50.3615,-146.206,,,,
Sun 09:51:16 PM,50.3833,-146.35,,,,
Sun 09:53:09 PM,50.4629,-146.7808,,,,
Sun 09:55:01 PM,50.5308,-147.1561,,,,
Sun 09:56:11 PM,50.5726,-147.3911,,,,
Sun 09:58:11 PM,50.6431,-147.7951,,,,
Sun 10:00:09 PM,50.7111,-148.1934,,,,
Sun 10:00:44 PM,50.7333,-148.2667,,,,
Sun 10:03:06 PM,50.8058,-148.7197,,,,
Sun 10:04:12 PM,50.8431,-148.9576,,,,
Sun 10:06:08 PM,50.9074,-149.3766,,,,
Sun 10:07:13 PM,50.9428,-149.6119,,,,
Sun 10:08:14 PM,50.9756,-149.833,,,,
Sun 10:09:23 PM,51,-150,,,,
Sun 10:10:20 PM,51.05,-150.2,,,,
Sun 10:13:11 PM,51.2039,-150.8225,,,,
Sun 10:14:12 PM,51.2524,-151.0222,,,,
Sun 10:16:13 PM,51.3475,-151.4195,,,,
Sun 10:17:58 PM,51.4289,-151.7656,,,,
Sun 10:19:12 PM,51.4857,-152.0103,,,,
Sun 10:19:56 PM,51.5,-152.0667,,,,
Sun 10:22:13 PM,51.6018,-152.5142,,,,
Sun 10:24:12 PM,51.6915,-152.9163,,,,
Sun 10:26:10 PM,51.7791,-153.3167,,,,
Sun 10:28:12 PM,51.8682,-153.7322,,,,
Sun 10:29:32 PM,51.9167,-153.9333,,,,
Sun 10:32:02 PM,52.0401,-154.5328,,,,
Sun 10:34:10 PM,52.1251,-154.9564,,,,
Sun 10:36:07 PM,52.2015,-155.345,,,,
Sun 10:37:07 PM,52.2402,-155.5448,,,,
Sun 10:39:09 PM,52.2833,-155.8,,,,
Sun 10:39:11 PM,52.319,-155.9588,,,,
Sun 10:42:07 PM,52.4047,-156.4453,,,,
Sun 10:43:12 PM,52.4461,-156.6704,,,,
Sun 10:45:13 PM,52.5219,-157.0906,,,,
Sun 10:46:13 PM,52.559,-157.2995,,,,
Sun 10:48:04 PM,52.6266,-157.6869,,,,
Sun 10:49:02 PM,52.65,-157.8167,,,,
Sun 10:49:11 PM,52.6668,-157.9213,,,,
Sun 10:50:52 PM,52.7184,-158.2215,,,,
Sun 10:52:04 PM,52.7616,-158.4825,,,,
Sun 10:53:12 PM,52.8019,-158.7294,,,,
Sun 10:54:18 PM,52.8544,-159.0554,,,,
Sun 10:54:48 PM,52.8717,-159.165,,,,
Sun 10:55:18 PM,52.8891,-159.2749,,,,
Sun 10:55:48 PM,52.9061,-159.3838,,,,
Sun 10:56:18 PM,52.9235,-159.4956,,,,
Sun 10:56:48 PM,52.9402,-159.6044,,,,
Sun 10:57:18 PM,52.9573,-159.7153,,,,
Sun 10:57:49 PM,52.9741,-159.8261,,,,
Sun 10:58:19 PM,52.9909,-159.9373,,,,
Sun 10:58:49 PM,53.0074,-160.0471,,,,
Sun 10:59:19 PM,53.0237,-160.1603,,,,
Sun 10:59:49 PM,53.0394,-160.2715,,,,
Sun 11:00:19 PM,53.0554,-160.3844,,,,
Sun 11:00:49 PM,53.0709,-160.4944,,,,
Sun 11:01:19 PM,53.0868,-160.6078,,,,
Sun 11:01:49 PM,53.1023,-160.7196,,,,
Sun 11:02:19 PM,53.1178,-160.8324,,,,
Sun 11:02:49 PM,53.1332,-160.9448,,,,
Sun 11:03:19 PM,53.1486,-161.0586,,,,
Sun 11:03:49 PM,53.1639,-161.1721,,,,
Sun 11:04:19 PM,53.1791,-161.2858,,,,
Sun 11:04:49 PM,53.1941,-161.399,,,,
Sun 11:05:19 PM,53.2091,-161.5128,,,,
Sun 11:05:49 PM,53.2238,-161.6256,,,,
Sun 11:06:19 PM,53.2386,-161.7402,,,,
Sun 11:06:49 PM,53.2532,-161.8537,,,,
Sun 11:07:19 PM,53.2678,-161.9686,,,,
Sun 11:07:49 PM,53.2823,-162.0833,,,,
Sun 11:08:20 PM,53.2969,-162.2,,,,
Sun 11:08:58 PM,53.3147,-162.3438,,,,
Sun 11:09:28 PM,53.3289,-162.4586,,,,
Sun 11:09:58 PM,53.3429,-162.574,,,,
Sun 11:10:29 PM,53.3574,-162.6939,,,,
Sun 11:11:20 PM,53.3813,-162.8938,,,,
Sun 11:11:50 PM,53.395,-163.0099,,,,
Sun 11:12:20 PM,53.4085,-163.1252,,,,
Sun 11:12:50 PM,53.4218,-163.2406,,,,
Sun 11:13:20 PM,53.4353,-163.3582,,,,
Sun 11:13:59 PM,53.452,-163.5051,,,,
Sun 11:14:29 PM,53.4652,-163.6224,,,,
Sun 11:14:59 PM,53.4782,-163.7394,,,,
Sun 11:15:29 PM,53.491,-163.8549,,,,
Sun 11:15:59 PM,53.5037,-163.971,,,,
Sun 11:16:29 PM,53.5164,-164.089,,,,
Sun 11:16:59 PM,53.5289,-164.205,,,,
Sun 11:17:29 PM,53.5412,-164.321,,,,
Sun 11:17:59 PM,53.5535,-164.4386,,,,
Sun 11:18:30 PM,53.5659,-164.5567,,,,
Sun 11:19:00 PM,53.5779,-164.6734,,,,
Sun 11:19:48 PM,53.5971,-164.8622,,,,
Sun 11:20:18 PM,53.609,-164.9805,,,,
Sun 11:20:48 PM,53.6208,-165.0994,,,,
Sun 11:21:18 PM,53.6323,-165.2163,,,,
Sun 11:21:48 PM,53.644,-165.3374,,,,
Sun 11:22:18 PM,53.6554,-165.4557,,,,
Sun 11:22:48 PM,53.6668,-165.5753,,,,
Sun 11:23:19 PM,53.6781,-165.6955,,,,
Sun 11:23:49 PM,53.6894,-165.8175,,,,
Sun 11:24:19 PM,53.7004,-165.9372,,,,
Sun 11:24:49 PM,53.7113,-166.0571,,,,
Sun 11:25:19 PM,53.7221,-166.1769,,,,
Sun 11:25:49 PM,53.7326,-166.2945,,,,
Sun 11:26:19 PM,53.7429,-166.4127,,,,
Sun 11:26:52 PM,53.7541,-166.541,,,,
Sun 11:27:22 PM,53.7638,-166.6547,,,,
Sun 11:27:56 PM,53.7752,-166.79,,,,
Sun 11:28:34 PM,53.788,-166.9442,,,,
Sun 11:29:10 PM,53.7996,-167.0853,,,,
Sun 11:29:40 PM,53.8091,-167.2038,,,,
Sun 11:30:22 PM,53.8229,-167.3764,,,,
Sun 11:31:02 PM,53.8352,-167.5346,,,,
Sun 11:31:39 PM,53.8473,-167.6905,,,,
Sun 11:32:09 PM,53.8564,-167.8111,,,,
Sun 11:32:39 PM,53.8654,-167.933,,,,
Sun 11:33:09 PM,53.8745,-168.0556,,,,
Sun 11:33:39 PM,53.8833,-168.1775,,,,
Sun 11:34:10 PM,53.8917,-168.2955,,,,
Sun 11:34:40 PM,53.9003,-168.4179,,,,
Sun 11:35:10 PM,53.9088,-168.5401,,,,
Sun 11:35:43 PM,53.9177,-168.6692,,,,
Sun 11:36:33 PM,53.931,-168.8688,,,,
Sun 11:37:03 PM,53.9384,-168.9832,,,,
Sun 11:37:34 PM,53.9465,-169.1079,,,,
Sun 11:38:04 PM,53.954,-169.2253,,,,
Sun 11:38:36 PM,53.9618,-169.3517,,,,
